Group,Cell,Lifetime,var_deltaQ,min_deltaQ,skew_deltaQ,kurt_deltaQ,Q_ini
G52,G52C1,16.991,9.641757721195986e-05,-0.018651446125684756,0.736680627406671,-0.9742417826486873,0.2835958333333334
G52,G52C2,13.911,9.53304681556545e-05,-0.018935875444582084,0.744703480797263,-0.9794015300241563,0.2832324722222222
G52,G52C3,14.606,0.00012786414807749633,-0.023712178900825664,0.6147548437117485,-1.1682285595521047,0.2849098611111111
G52,G52C4,17.026,0.00014120614834856298,-0.024729804785242504,0.5514359950040163,-1.2121058507492821,0.2825051666666666
G53,G53C1,3.724,0.000947009436299803,-0.07976444602576876,0.11204584006008099,-1.6137915238303409,0.2839723333333333
G53,G53C2,4.426,0.0006776101829813043,-0.06478459732758021,0.11688858486366001,-1.625538731605947,0.2830166388888889
G53,G53C3,4.047,0.0007878782008322185,-0.0699911178354922,0.09249618491009626,-1.6396848499949856,0.2868083333333333
G53,G53C4,10.685,0.00021924992323503443,-0.03215449278648269,0.35212016184686334,-1.4389922403579347,0.2835958333333334
G54,G54C1,25.86,3.260673725295018e-05,-0.009069536344605222,0.7247508277559497,-0.6815182640439961,0.282055361111111
G54,G54C2,29.254,2.8107527662948085e-05,-0.007547386087175534,0.7908627455622596,-0.5345936548031602,0.2840277777777777
G54,G54C3,28.445,3.0312717771398216e-05,-0.008266935165532618,0.7710461263793001,-0.5984492851317462,0.2825370277777778
G54,G54C4,25.184,3.148474568209172e-05,-0.00906964153080736,0.8034480662684359,-0.5693202234229249,0.2847525277777778
G55,G55C1,13.114,0.00011320025948062304,-0.022012955428998615,0.7781303253957355,-0.951831198114053,0.2830020555555556
G55,G55C2,12.436,0.0001225008791744516,-0.02310238470403614,0.7325410672983514,-0.995870397527848,0.2803573611111111
G55,G55C3,12.158,0.0001924115646945084,-0.03001325966285953,0.47950766674627265,-1.32337695246324,0.2794865555555555
G55,G55C4,12.205,0.0001233142411066447,-0.023523111498079396,0.7364128858471528,-1.017875784649577,0.2835083333333333
G56,G56C1,21.569,0.00014141520790128878,-0.02607158352015948,0.5141810033933336,-1.2237218731548662,0.2826939166666666
G56,G56C2,19.939,0.00011769180734868292,-0.0238520013094774,0.5950954026269422,-1.1675384149423262,0.2819875
G56,G56C3,15.547,0.00010905167144117944,-0.022955984853257894,0.6580173350620566,-1.111187431968173,0.2826751944444444
G56,G56C4,16.768,0.00022861446163736438,-0.034283016925354126,0.32338123369477,-1.4283512029776333,0.2835194444444444
G58,G58C1,27.632,0.00011546778332616676,-0.02384294982335461,0.3590935249596937,-1.3956430581504093,0.2871388611111111
G58,G58C2,13.798,0.0002331157979628497,-0.034647836009733396,0.15573318241382927,-1.5790765950106298,0.2834601388888889
G58,G58C3,17.091,0.00018090995834937695,-0.029724153425688488,0.1952492917576907,-1.5309207697215967,0.2843386944444445
G58,G58C4,18.903,0.00027689133148017575,-0.03769271801761928,0.11346861875427154,-1.594042548190395,0.2851346944444444
G59,G59C1,29.729,6.270968659850109e-05,-0.014704247087884315,0.5523465200361101,-1.0237565964811324,0.2828555555555555
G59,G59C2,26.766,6.685581784194245e-05,-0.01523792291501308,0.49961325900217224,-1.1166437470549788,0.282861111111111
G59,G59C3,22.398,7.82200347378344e-05,-0.01818824822362508,0.42821081339426953,-1.2351793488776612,0.2850416666666667
G59,G59C4,24.215,6.393985235745356e-05,-0.014686581934202803,0.5233830059148353,-1.0638635486884223,0.2868152777777778
G30,G30C1,10.242,7.904971986497547e-05,-0.018387002651127693,0.6970124150168971,-1.107246733216845,0.281485884444444
